loan_status,loan_amount,loan_term,interest_rate,grade,purpose,employment_length,annual_income
fully paid,8600.0,36.0,19.42,e,credit_card,10.0,59774.0
fully paid,7000.0,36.0,7.49,a,credit_card,1.0,120000.0
fully paid,8000.0,36.0,7.51,a,credit_card,2.0,52500.0
fully paid,23850.0,60.0,19.03,e,debt_consolidation,10.0,48000.0
fully paid,24000.0,60.0,12.42,b,debt_consolidation,10.0,60000.0
fully paid,2800.0,36.0,9.91,b,debt_consolidation,10.0,95004.0
default,18000.0,36.0,10.65,b,debt_consolidation,3.0,82500.0
default,12000.0,60.0,19.42,e,debt_consolidation,6.0,103000.0
fully paid,5000.0,36.0,7.51,a,other,1.0,39996.0
fully paid,6600.0,36.0,7.51,a,home_improvement,10.0,95000.0
fully paid,2400.0,36.0,9.91,b,debt_consolidation,1.0,19200.0
default,7000.0,36.0,14.27,c,debt_consolidation,3.0,33198.0
fully paid,12500.0,36.0,6.03,a,debt_consolidation,5.0,65004.0
fully paid,2400.0,36.0,8.9,a,debt_consolidation,3.0,38769.12
fully paid,18000.0,36.0,7.9,a,credit_card,5.0,89204.4
fully paid,12000.0,36.0,16.29,d,debt_consolidation,10.0,261825.31
fully paid,3000.0,36.0,14.65,c,credit_card,2.0,125000.0
fully paid,1000.0,36.0,14.27,c,medical,5.0,82000.0
fully paid,4000.0,36.0,16.29,d,wedding,5.0,36000.0
fully paid,3625.0,36.0,7.9,a,credit_card,2.0,54000.0
fully paid,3600.0,36.0,11.71,b,small_business,3.0,20000.0
fully paid,10950.0,36.0,7.51,a,debt_consolidation,10.0,48000.0
fully paid,10000.0,36.0,19.03,e,debt_consolidation,1.0,26400.0
default,24000.0,60.0,11.71,b,home_improvement,1.0,140000.0
fully paid,1000.0,36.0,6.62,a,debt_consolidation,10.0,38400.0
fully paid,2500.0,36.0,14.27,c,small_business,1.0,40000.0
fully paid,5000.0,36.0,7.9,a,small_business,5.0,26400.0
fully paid,10000.0,36.0,12.42,b,wedding,2.0,55000.0
default,10000.0,60.0,10.65,b,debt_consolidation,3.0,60000.0
fully paid,15000.0,36.0,15.27,c,small_business,6.0,185000.0
default,12000.0,60.0,14.27,c,debt_consolidation,6.0,72000.0
fully paid,6000.0,36.0,7.51,a,debt_consolidation,6.0,75000.0
default,9000.0,36.0,14.65,c,debt_consolidation,1.0,115000.0
fully paid,5000.0,36.0,14.65,c,debt_consolidation,3.0,38400.0
default,25000.0,60.0,19.03,e,debt_consolidation,1.0,50000.0
fully paid,20000.0,60.0,17.27,d,debt_consolidation,2.0,67500.0
default,10400.0,60.0,21.67,f,home_improvement,2.0,90000.0
default,15000.0,36.0,12.69,b,other,4.0,150000.0
fully paid,4000.0,36.0,6.62,a,small_business,5.0,97000.0
default,2000.0,36.0,11.71,b,vacation,2.0,30000.0
fully paid,3600.0,36.0,7.9,a,medical,4.0,60000.0
default,26375.0,60.0,10.65,b,major_purchase,4.0,48000.0
fully paid,20000.0,60.0,17.58,d,debt_consolidation,10.0,66397.44
fully paid,13600.0,36.0,6.03,a,debt_consolidation,5.0,85000.0
default,3000.0,36.0,7.9,a,other,10.0,87000.0
fully paid,8250.0,36.0,7.51,a,home_improvement,3.0,43000.0
fully paid,5500.0,36.0,13.49,c,home_improvement,1.0,70000.0
fully paid,20000.0,36.0,9.91,b,debt_consolidation,2.0,54000.0
fully paid,33541.207,60.0,14.27,c,other,10.0,73000.0
fully paid,5000.0,36.0,12.69,b,home_improvement,5.0,100000.0
fully paid,10075.0,60.0,12.42,b,small_business,1.0,25000.0
fully paid,23325.0,60.0,17.58,d,medical,8.0,48800.0
fully paid,32000.0,60.0,11.71,b,debt_consolidation,10.0,55000.0
fully paid,14000.0,60.0,7.9,a,car,6.0,60000.0
fully paid,16000.0,36.0,13.49,c,debt_consolidation,10.0,122000.0
fully paid,3600.0,36.0,11.71,b,home_improvement,2.0,20988.0
fully paid,12000.0,36.0,7.9,a,house,9.0,60000.0
fully paid,6400.0,36.0,9.91,b,debt_consolidation,1.0,50000.0
fully paid,8000.0,36.0,9.91,b,debt_consolidation,8.0,35000.0
fully paid,1000.0,36.0,11.71,b,debt_consolidation,1.0,100000.0
fully paid,33541.207,60.0,19.91,e,other,2.0,65000.0
fully paid,10000.0,36.0,6.03,a,wedding,5.0,36000.0
default,3100.0,36.0,7.51,a,credit_card,5.0,32000.0
fully paid,1500.0,36.0,12.42,b,other,9.0,60000.0
default,14000.0,60.0,14.27,c,debt_consolidation,10.0,65000.0
fully paid,3400.0,36.0,13.49,c,debt_consolidation,1.0,44000.0
fully paid,7000.0,36.0,7.51,a,medical,2.0,45000.0
fully paid,33541.207,60.0,22.35,f,credit_card,1.0,261825.31
fully paid,14400.0,60.0,19.03,e,debt_consolidation,6.0,160000.0
default,20000.0,60.0,19.91,e,other,3.0,66000.0
fully paid,12000.0,36.0,6.03,a,debt_consolidation,1.0,85000.0
default,14000.0,60.0,14.27,c,credit_card,10.0,82000.0
fully paid,2500.0,36.0,11.71,b,debt_consolidation,10.0,48000.0
fully paid,10000.0,36.0,6.62,a,other,10.0,57600.0
fully paid,20000.0,60.0,12.42,b,home_improvement,10.0,110000.0
fully paid,4000.0,36.0,11.71,b,house,3.0,77250.0
fully paid,8000.0,36.0,6.03,a,car,10.0,64320.0
fully paid,18400.0,36.0,9.91,b,debt_consolidation,3.0,62500.0
fully paid,17000.0,36.0,7.51,a,debt_consolidation,10.0,87000.0
fully paid,20000.0,36.0,10.65,b,credit_card,5.0,130000.0
fully paid,1200.0,36.0,8.9,a,vacation,10.0,85000.0
fully paid,4950.0,36.0,8.9,a,debt_consolidation,3.0,15000.0
fully paid,3000.0,36.0,11.71,b,debt_consolidation,9.0,60000.0
default,5700.0,60.0,18.64,e,other,10.0,107004.0
default,5000.0,36.0,18.25,d,debt_consolidation,3.0,36000.0
default,15000.0,60.0,14.27,c,medical,10.0,40800.0
fully paid,30000.0,36.0,16.29,d,debt_consolidation,2.0,140000.0
fully paid,2000.0,36.0,11.71,b,credit_card,10.0,34500.0
fully paid,6000.0,36.0,6.03,a,car,10.0,90000.0
default,22000.0,60.0,14.27,c,debt_consolidation,5.0,85000.0
fully paid,4500.0,36.0,7.9,a,debt_consolidation,10.0,70000.0
fully paid,15000.0,36.0,6.03,a,car,2.0,86400.0
default,6450.0,36.0,9.91,b,moving,4.0,29361.0
fully paid,5000.0,36.0,6.03,a,debt_consolidation,5.0,66100.0
default,25000.0,36.0,14.27,c,debt_consolidation,7.0,108000.0
fully paid,2400.0,36.0,13.49,c,other,3.0,90050.0
fully paid,12000.0,36.0,6.62,a,credit_card,10.0,56000.0
fully paid,10000.0,36.0,11.71,b,credit_card,6.0,80000.0
fully paid,33541.207,36.0,9.91,b,credit_card,4.0,160000.0
fully paid,20000.0,60.0,14.65,c,debt_consolidation,8.0,260000.0
default,31700.0,60.0,20.89,f,debt_consolidation,6.0,250000.0
fully paid,7500.0,36.0,16.29,d,debt_consolidation,8.0,125000.0
fully paid,3800.0,36.0,8.9,a,car,8.0,54000.0
fully paid,8000.0,36.0,6.62,a,debt_consolidation,6.0,33000.0
fully paid,6000.0,36.0,8.9,a,medical,6.0,75000.0
default,6000.0,36.0,10.65,b,credit_card,6.0,59000.0
fully paid,8875.0,36.0,6.62,a,debt_consolidation,4.0,26400.0
fully paid,3500.0,36.0,7.9,a,debt_consolidation,5.0,30000.0
fully paid,33541.207,60.0,19.42,e,debt_consolidation,2.0,250000.0
fully paid,33541.207,36.0,8.9,a,house,10.0,230000.0
fully paid,27300.0,60.0,21.67,f,credit_card,10.0,73440.0
fully paid,31200.0,60.0,12.42,b,debt_consolidation,5.0,129000.0
fully paid,7000.0,36.0,6.62,a,car,1.0,149400.0
fully paid,4200.0,36.0,7.51,a,debt_consolidation,10.0,52000.0
fully paid,3000.0,36.0,12.69,b,moving,5.0,42000.0
fully paid,5875.0,36.0,6.03,a,other,10.0,62000.0
fully paid,17000.0,36.0,7.51,a,debt_consolidation,2.0,70000.0
fully paid,33541.207,60.0,11.71,b,debt_consolidation,4.0,90000.0
default,2000.0,36.0,12.69,b,debt_consolidation,1.0,48000.0
default,18000.0,36.0,11.71,b,debt_consolidation,1.0,42480.0
fully paid,2000.0,36.0,8.9,a,small_business,1.0,55000.0
fully paid,7000.0,36.0,9.91,b,debt_consolidation,5.0,156000.0
default,33541.207,60.0,12.42,b,credit_card,4.0,100000.0
fully paid,15000.0,60.0,10.65,b,home_improvement,3.0,100000.0
fully paid,15000.0,36.0,6.03,a,home_improvement,1.0,100000.0
fully paid,15000.0,60.0,18.25,d,debt_consolidation,5.0,55000.0
fully paid,22000.0,60.0,12.69,b,debt_consolidation,1.0,115000.0
default,12000.0,60.0,7.9,a,debt_consolidation,10.0,40000.0
fully paid,22000.0,36.0,7.51,a,debt_consolidation,7.0,55000.0
fully paid,1875.0,36.0,13.49,c,credit_card,1.0,14400.0
default,12000.0,36.0,15.27,c,other,2.0,170000.0
fully paid,10000.0,36.0,6.62,a,major_purchase,5.0,74000.0
default,15500.0,60.0,13.49,c,debt_consolidation,5.0,30720.0
default,16300.0,60.0,20.3,e,debt_consolidation,9.0,38000.0
fully paid,4800.0,36.0,10.65,b,debt_consolidation,7.0,33000.0
default,15850.0,60.0,18.64,e,other,2.0,43000.0
fully paid,12550.0,60.0,11.71,b,debt_consolidation,5.0,28764.0
fully paid,5200.0,36.0,15.96,c,debt_consolidation,1.0,62000.0
fully paid,4800.0,36.0,7.51,a,other,6.0,35000.0
default,12000.0,36.0,15.27,c,home_improvement,4.0,69000.0
fully paid,5000.0,36.0,6.03,a,other,3.0,92001.0
default,11725.0,60.0,20.89,f,debt_consolidation,1.0,85000.0
fully paid,12000.0,36.0,6.62,a,credit_card,4.0,105000.0
fully paid,12000.0,60.0,19.91,e,debt_consolidation,1.0,65000.0
fully paid,17500.0,60.0,11.71,b,medical,1.0,37500.0
fully paid,15000.0,36.0,7.9,a,debt_consolidation,2.0,72000.0
fully paid,30000.0,36.0,10.65,b,debt_consolidation,10.0,94000.0
fully paid,30000.0,60.0,16.77,d,debt_consolidation,10.0,69996.0
default,12000.0,60.0,8.9,a,other,7.0,47148.0
default,7200.0,36.0,8.9,a,car,7.0,30000.0
default,14400.0,36.0,11.71,b,debt_consolidation,3.0,70000.0
fully paid,12000.0,36.0,11.71,b,debt_consolidation,4.0,75000.0
fully paid,10000.0,36.0,12.69,b,small_business,1.0,64000.0
fully paid,3500.0,36.0,11.71,b,debt_consolidation,1.0,31400.0
fully paid,2500.0,36.0,7.9,a,debt_consolidation,5.0,36000.0
fully paid,5000.0,36.0,8.9,a,other,5.0,20000.0
fully paid,19200.0,60.0,19.42,e,debt_consolidation,2.0,75000.0
fully paid,22600.0,60.0,18.64,e,small_business,6.0,200000.0
fully paid,10000.0,36.0,12.42,b,other,10.0,34000.0
default,9800.0,36.0,7.51,a,other,10.0,50000.0
fully paid,5000.0,36.0,13.49,c,debt_consolidation,1.0,21000.0
fully paid,12700.0,36.0,17.27,d,credit_card,6.0,43400.0
fully paid,6000.0,36.0,8.9,a,medical,10.0,44500.0
fully paid,7200.0,36.0,10.65,b,credit_card,3.0,66600.0
fully paid,28000.0,36.0,9.91,b,small_business,3.0,125000.0
default,30000.0,36.0,6.62,a,small_business,5.0,61500.0
default,2500.0,60.0,16.77,d,other,8.0,53700.0
fully paid,28000.0,60.0,18.64,e,debt_consolidation,4.0,72000.0
default,24000.0,60.0,18.25,d,wedding,5.0,261825.31
fully paid,33541.207,60.0,12.42,b,home_improvement,1.0,83660.0
default,6000.0,36.0,6.62,a,debt_consolidation,5.0,66000.0
default,14000.0,36.0,7.9,a,major_purchase,6.0,45000.0
fully paid,6000.0,36.0,6.62,a,debt_consolidation,2.0,18000.0
fully paid,18000.0,36.0,7.51,a,credit_card,7.0,115000.0
fully paid,12000.0,60.0,12.69,b,debt_consolidation,2.0,79000.0
fully paid,12600.0,60.0,13.49,c,debt_consolidation,7.0,36000.0
default,16800.0,60.0,20.3,e,home_improvement,9.0,127000.0
default,16500.0,60.0,18.25,d,debt_consolidation,10.0,50000.0
default,26500.0,60.0,19.42,e,debt_consolidation,10.0,60000.0
fully paid,3600.0,36.0,12.69,b,wedding,5.0,80000.0
fully paid,33541.207,60.0,14.27,c,debt_consolidation,10.0,62845.0
fully paid,33541.207,60.0,17.27,d,debt_consolidation,10.0,128800.0
default,10000.0,60.0,11.71,b,other,10.0,43992.0
fully paid,2500.0,36.0,13.49,c,house,6.0,55000.0
fully paid,6000.0,36.0,9.91,b,credit_card,1.0,112000.0
fully paid,4000.0,36.0,7.9,a,credit_card,2.0,61000.0
fully paid,12000.0,60.0,12.69,b,major_purchase,10.0,78000.0
fully paid,5300.0,36.0,6.62,a,wedding,3.0,65000.0
fully paid,12000.0,36.0,7.9,a,debt_consolidation,10.0,50000.0
fully paid,3600.0,36.0,16.77,d,debt_consolidation,10.0,36000.0
default,28000.0,60.0,14.65,c,debt_consolidation,2.0,175000.0
default,12000.0,60.0,18.64,e,house,8.0,135000.0
default,6000.0,60.0,17.27,d,debt_consolidation,10.0,99996.0
fully paid,9000.0,36.0,17.58,d,debt_consolidation,10.0,30000.0
default,13200.0,60.0,19.91,e,debt_consolidation,1.0,45000.0
fully paid,6000.0,36.0,7.9,a,debt_consolidation,2.0,22356.0
default,25000.0,36.0,15.27,c,debt_consolidation,1.0,100800.0
fully paid,7200.0,36.0,8.9,a,major_purchase,1.0,85000.0
fully paid,7500.0,36.0,7.9,a,major_purchase,1.0,35000.0
fully paid,7125.0,36.0,7.51,a,debt_consolidation,10.0,33600.0
fully paid,1800.0,36.0,7.51,a,debt_consolidation,4.0,52000.0
fully paid,24000.0,60.0,14.65,c,debt_consolidation,3.0,60000.0
fully paid,2100.0,36.0,6.03,a,debt_consolidation,10.0,64000.0
default,12000.0,60.0,19.42,e,debt_consolidation,1.0,60000.0
fully paid,7800.0,36.0,6.62,a,home_improvement,6.0,50000.0
fully paid,8000.0,36.0,9.91,b,credit_card,10.0,90000.0
fully paid,25000.0,60.0,12.69,b,debt_consolidation,10.0,73000.0
fully paid,12000.0,36.0,8.9,a,credit_card,6.0,80800.0
fully paid,1500.0,36.0,6.62,a,other,5.0,96000.0
fully paid,5600.0,60.0,8.9,a,car,10.0,60000.0
fully paid,6225.0,36.0,7.9,a,debt_consolidation,10.0,81000.0
default,28000.0,60.0,12.69,b,home_improvement,4.0,115000.0
default,4800.0,36.0,8.9,a,other,7.0,102000.0
fully paid,21000.0,36.0,12.69,b,debt_consolidation,7.0,68666.0
default,15250.0,60.0,19.42,e,small_business,4.0,52500.0
fully paid,12000.0,36.0,6.03,a,credit_card,10.0,45000.0
fully paid,17625.0,60.0,15.27,c,debt_consolidation,9.0,70000.0
default,20000.0,60.0,12.69,b,debt_consolidation,10.0,52500.0
fully paid,15000.0,36.0,12.42,b,credit_card,1.0,88000.0
fully paid,7000.0,36.0,6.03,a,debt_consolidation,10.0,22800.0
fully paid,15000.0,36.0,16.77,d,other,10.0,122000.0
fully paid,9200.0,60.0,16.77,d,credit_card,7.0,72000.0
fully paid,12000.0,36.0,13.49,c,other,1.0,48000.0
fully paid,6000.0,36.0,7.9,a,moving,10.0,53000.0
default,7200.0,36.0,9.91,b,debt_consolidation,1.0,30000.0
fully paid,12800.0,36.0,8.9,a,debt_consolidation,8.0,38500.0
default,23000.0,60.0,12.42,b,small_business,10.0,39000.0
fully paid,8000.0,36.0,8.9,a,credit_card,10.0,150000.0
default,33541.207,60.0,22.74,g,debt_consolidation,10.0,122400.0
default,4450.0,60.0,19.42,e,debt_consolidation,4.0,26436.0
fully paid,5400.0,36.0,8.9,a,other,10.0,50000.0
fully paid,12000.0,36.0,11.71,b,debt_consolidation,1.0,50000.0
fully paid,3000.0,36.0,6.03,a,major_purchase,6.0,80000.0
fully paid,4800.0,36.0,7.9,a,other,2.0,55200.0
fully paid,6500.0,36.0,15.96,c,debt_consolidation,1.0,50000.0
fully paid,10000.0,36.0,6.62,a,debt_consolidation,10.0,100000.0
fully paid,3600.0,36.0,10.65,b,debt_consolidation,7.0,76000.0
fully paid,2000.0,36.0,11.71,b,debt_consolidation,5.0,40000.0
default,1400.0,36.0,8.9,a,debt_consolidation,8.0,28800.0
default,4200.0,36.0,17.58,d,debt_consolidation,1.0,70000.0
fully paid,30000.0,60.0,20.3,e,debt_consolidation,6.0,135000.0
fully paid,23000.0,60.0,12.42,b,debt_consolidation,3.0,64000.0
fully paid,5000.0,36.0,18.25,d,credit_card,1.0,33600.0
fully paid,23275.0,36.0,12.42,b,debt_consolidation,10.0,60000.0
default,30000.0,60.0,19.03,e,debt_consolidation,10.0,51600.0
fully paid,4000.0,36.0,6.62,a,wedding,10.0,47000.0
fully paid,8400.0,36.0,8.9,a,debt_consolidation,7.0,52000.0
fully paid,15600.0,36.0,7.9,a,credit_card,6.0,90000.0
fully paid,28000.0,60.0,12.69,b,credit_card,10.0,145000.0
fully paid,11800.0,36.0,6.03,a,debt_consolidation,4.0,102500.0
fully paid,4200.0,36.0,7.9,a,other,4.0,12000.0
fully paid,12000.0,36.0,6.03,a,moving,4.0,120155.0
fully paid,13000.0,36.0,11.71,b,debt_consolidation,9.0,83195.0
fully paid,12000.0,60.0,19.42,e,debt_consolidation,10.0,42000.0
fully paid,7200.0,36.0,7.9,a,debt_consolidation,10.0,37200.0
default,33541.207,60.0,11.71,b,debt_consolidation,3.0,80000.0
default,8600.0,60.0,10.65,b,debt_consolidation,10.0,63900.0
fully paid,12000.0,36.0,6.62,a,debt_consolidation,10.0,100000.0
fully paid,6000.0,36.0,14.27,c,other,6.0,45000.0
fully paid,12000.0,36.0,15.27,c,home_improvement,5.0,102000.0
fully paid,33541.207,60.0,18.64,e,debt_consolidation,5.0,75000.0
fully paid,30000.0,60.0,19.03,e,home_improvement,6.0,110000.0
fully paid,14000.0,36.0,11.71,b,major_purchase,1.0,97000.0
fully paid,24000.0,36.0,19.42,e,debt_consolidation,10.0,96000.0
fully paid,33541.207,36.0,18.25,d,debt_consolidation,5.0,130000.0
fully paid,33541.207,60.0,19.91,e,debt_consolidation,9.0,73000.0
fully paid,2000.0,36.0,13.49,c,other,1.0,45000.0
fully paid,33541.207,60.0,11.71,b,debt_consolidation,3.0,155000.0
default,2000.0,36.0,14.27,c,debt_consolidation,10.0,33000.0
fully paid,10000.0,36.0,9.91,b,debt_consolidation,3.0,26004.0
fully paid,5000.0,36.0,12.42,b,home_improvement,3.0,130000.0
fully paid,5200.0,36.0,7.9,a,debt_consolidation,5.0,64000.0
fully paid,12000.0,36.0,6.62,a,other,10.0,72000.0
fully paid,4000.0,36.0,17.58,d,wedding,3.0,40000.0
fully paid,1500.0,36.0,7.51,a,major_purchase,1.0,30000.0
default,14000.0,60.0,10.65,b,medical,10.0,48000.0
fully paid,12000.0,60.0,8.9,a,wedding,1.0,75000.0
default,33541.207,60.0,14.27,c,debt_consolidation,10.0,130000.0
fully paid,5000.0,36.0,10.65,b,other,3.0,150000.0
fully paid,4200.0,36.0,8.9,a,car,5.0,34400.0
fully paid,9000.0,36.0,12.42,b,credit_card,5.0,60000.0
fully paid,6000.0,36.0,8.9,a,car,10.0,76000.0
fully paid,10500.0,36.0,6.62,a,debt_consolidation,10.0,57600.0
default,3875.0,60.0,19.03,e,debt_consolidation,10.0,75000.0
fully paid,4800.0,36.0,7.51,a,car,10.0,49200.0
fully paid,11000.0,36.0,12.42,b,debt_consolidation,2.0,63000.0
fully paid,8000.0,36.0,16.29,d,credit_card,7.0,68000.0
fully paid,12000.0,36.0,10.65,b,debt_consolidation,1.0,86000.0
default,30000.0,60.0,22.35,f,debt_consolidation,10.0,116000.0
fully paid,5000.0,36.0,6.03,a,moving,3.0,54590.0
fully paid,33000.0,60.0,18.64,e,debt_consolidation,10.0,66000.0
fully paid,7125.0,36.0,6.62,a,debt_consolidation,10.0,74004.0
default,33541.207,60.0,11.71,b,debt_consolidation,2.0,80000.0
fully paid,19000.0,36.0,8.9,a,major_purchase,2.0,78000.0
default,15000.0,60.0,10.65,b,debt_consolidation,10.0,75900.0
fully paid,8000.0,36.0,15.96,c,debt_consolidation,1.0,83200.0
fully paid,20000.0,60.0,12.69,b,debt_consolidation,10.0,109000.0
fully paid,15000.0,36.0,12.42,b,debt_consolidation,1.0,32000.0
fully paid,10000.0,36.0,14.27,c,credit_card,3.0,50000.0
default,25200.0,60.0,13.49,c,wedding,8.0,50000.0
fully paid,9000.0,36.0,10.65,b,debt_consolidation,10.0,104000.0
fully paid,13275.0,36.0,17.58,d,credit_card,5.0,54000.0
default,18000.0,60.0,11.71,b,medical,8.0,48000.0
fully paid,5500.0,36.0,6.03,a,other,9.0,65004.0
fully paid,10000.0,36.0,7.51,a,debt_consolidation,6.0,80000.0
fully paid,6500.0,36.0,6.03,a,major_purchase,5.0,42000.0
fully paid,2400.0,36.0,16.29,d,debt_consolidation,1.0,21600.0
fully paid,1000.0,36.0,16.29,d,debt_consolidation,10.0,32000.0
fully paid,3800.0,36.0,10.65,b,car,5.0,45000.0
fully paid,10000.0,36.0,11.71,b,major_purchase,2.0,60000.0
fully paid,1500.0,36.0,16.29,d,debt_consolidation,10.0,45996.0
fully paid,4800.0,36.0,7.51,a,other,9.0,45000.0
fully paid,2000.0,36.0,7.9,a,debt_consolidation,1.0,61000.0
fully paid,20000.0,36.0,10.65,b,credit_card,7.0,85900.0
default,14500.0,60.0,17.27,d,debt_consolidation,3.0,98850.0
fully paid,8325.0,36.0,7.51,a,debt_consolidation,10.0,52000.0
fully paid,33541.207,60.0,22.74,g,credit_card,5.0,180000.0
default,16000.0,60.0,15.27,c,home_improvement,2.0,125000.0
default,2000.0,60.0,14.27,c,other,4.0,32004.0
fully paid,9600.0,36.0,9.91,b,credit_card,1.0,80000.0
fully paid,3000.0,36.0,14.27,c,medical,10.0,56000.0
fully paid,32000.0,60.0,12.42,b,credit_card,10.0,62400.0
fully paid,2500.0,36.0,6.03,a,major_purchase,8.0,15300.0
fully paid,25000.0,60.0,14.27,c,debt_consolidation,9.0,80000.0
fully paid,19075.0,36.0,7.9,a,debt_consolidation,5.0,82000.0
default,12000.0,60.0,12.42,b,debt_consolidation,9.0,87996.0
fully paid,8000.0,36.0,6.62,a,home_improvement,2.0,136173.0
default,5000.0,60.0,19.42,e,debt_consolidation,1.0,39996.0
fully paid,12000.0,36.0,12.42,b,debt_consolidation,10.0,73527.0
fully paid,7500.0,60.0,18.25,d,debt_consolidation,5.0,81996.0
fully paid,21000.0,60.0,19.42,e,other,4.0,261825.31
default,15600.0,60.0,19.42,e,credit_card,1.0,60000.0
fully paid,5600.0,36.0,15.96,c,car,9.0,48000.0
fully paid,2400.0,36.0,16.29,d,debt_consolidation,6.0,24000.0
fully paid,7000.0,36.0,6.62,a,wedding,4.0,80000.0
fully paid,6000.0,36.0,6.62,a,debt_consolidation,1.0,82531.8
fully paid,3000.0,36.0,7.51,a,vacation,9.0,60000.0
fully paid,12000.0,36.0,6.62,a,credit_card,6.0,90000.0
fully paid,5000.0,36.0,6.03,a,credit_card,3.0,70000.0
fully paid,16500.0,60.0,7.9,a,debt_consolidation,10.0,80000.0
default,11200.0,60.0,20.89,f,debt_consolidation,7.0,36000.0
default,16000.0,60.0,12.69,b,credit_card,1.0,65000.0
default,17000.0,60.0,12.42,b,debt_consolidation,5.0,28000.0
fully paid,5000.0,36.0,15.27,c,home_improvement,1.0,60000.0
fully paid,14000.0,60.0,14.27,c,debt_consolidation,4.0,71016.0
fully paid,12875.0,60.0,17.27,d,home_improvement,8.0,28700.0
fully paid,6500.0,36.0,6.03,a,debt_consolidation,9.0,55236.0
fully paid,12000.0,36.0,6.62,a,credit_card,10.0,165000.0
fully paid,8150.0,36.0,7.51,a,other,2.0,75000.0
fully paid,16450.0,60.0,17.58,d,debt_consolidation,10.0,40000.0
fully paid,15000.0,60.0,12.42,b,debt_consolidation,9.0,113000.0
fully paid,8000.0,36.0,14.65,c,home_improvement,2.0,45000.0
fully paid,14800.0,36.0,19.42,e,debt_consolidation,1.0,76700.0
fully paid,12800.0,36.0,11.71,b,medical,6.0,70000.0
fully paid,14000.0,36.0,12.42,b,debt_consolidation,9.0,40000.0
fully paid,8000.0,36.0,12.69,b,credit_card,4.0,38000.0
fully paid,2500.0,60.0,13.49,c,car,10.0,95832.0
fully paid,1500.0,36.0,12.69,b,other,10.0,39600.0
fully paid,6000.0,36.0,9.91,b,debt_consolidation,2.0,40000.0
fully paid,33541.207,60.0,11.71,b,credit_card,10.0,108000.0
fully paid,10000.0,36.0,13.49,c,debt_consolidation,1.0,35640.0
fully paid,9000.0,36.0,7.51,a,credit_card,1.0,60000.0
default,21600.0,60.0,11.71,b,credit_card,10.0,75000.0
fully paid,3000.0,36.0,14.27,c,other,10.0,115154.16
fully paid,33541.207,60.0,13.49,c,debt_consolidation,10.0,100000.0
fully paid,4900.0,36.0,9.91,b,major_purchase,8.0,43000.0
default,12000.0,36.0,7.9,a,debt_consolidation,3.0,187000.0
fully paid,1000.0,36.0,6.03,a,other,2.0,40000.0
default,4000.0,60.0,12.69,b,major_purchase,10.0,66996.0
fully paid,4500.0,36.0,6.62,a,car,1.0,32000.0
fully paid,5000.0,36.0,6.62,a,major_purchase,4.0,24000.0
default,9000.0,60.0,14.27,c,other,4.0,27000.0
fully paid,33541.207,60.0,12.69,b,debt_consolidation,3.0,109000.0
fully paid,8000.0,60.0,15.96,c,other,5.0,57000.0
fully paid,12000.0,36.0,17.27,d,debt_consolidation,10.0,102000.0
fully paid,12000.0,36.0,6.03,a,debt_consolidation,5.0,64000.0
fully paid,2400.0,36.0,12.69,b,debt_consolidation,6.0,60500.0
fully paid,7500.0,36.0,8.9,a,debt_consolidation,8.0,55000.0
fully paid,33541.207,60.0,14.27,c,debt_consolidation,10.0,112000.0
fully paid,6000.0,36.0,6.03,a,home_improvement,4.0,80000.0
fully paid,3950.0,36.0,6.03,a,renewable_energy,7.0,109000.0
fully paid,1800.0,36.0,11.99,b,debt_consolidation,2.0,19200.0
fully paid,6800.0,36.0,11.71,b,debt_consolidation,7.0,64000.0
fully paid,6650.0,36.0,12.69,b,credit_card,2.0,56000.0
default,31025.0,60.0,22.06,f,debt_consolidation,3.0,80000.0
fully paid,1500.0,36.0,12.69,b,other,1.0,20004.0
fully paid,14000.0,36.0,12.69,b,debt_consolidation,1.0,45000.0
fully paid,6000.0,36.0,7.9,a,other,1.0,57000.0
fully paid,7500.0,36.0,6.03,a,other,10.0,95000.0
default,33541.207,60.0,11.71,b,credit_card,10.0,102000.0
fully paid,16400.0,60.0,22.35,f,debt_consolidation,2.0,80000.0
fully paid,16800.0,60.0,15.27,c,debt_consolidation,6.0,68500.0
fully paid,3700.0,36.0,9.91,b,car,9.0,25000.0
fully paid,5000.0,36.0,6.03,a,debt_consolidation,1.0,30000.0
fully paid,3000.0,36.0,10.65,b,other,1.0,21000.0
fully paid,7000.0,36.0,7.9,a,credit_card,10.0,40000.0
fully paid,20000.0,60.0,10.65,b,debt_consolidation,10.0,68000.0
fully paid,9600.0,36.0,11.71,b,credit_card,7.0,53000.0
fully paid,14500.0,60.0,17.27,d,credit_card,10.0,27600.0
fully paid,19425.0,60.0,13.49,c,debt_consolidation,4.0,60000.0
default,24000.0,60.0,18.64,e,debt_consolidation,6.0,132000.0
fully paid,9100.0,36.0,6.03,a,debt_consolidation,10.0,75000.0
fully paid,20000.0,36.0,10.65,b,debt_consolidation,10.0,95000.0
fully paid,33541.207,36.0,7.9,a,credit_card,2.0,115000.0
default,21000.0,60.0,13.49,c,other,1.0,68000.0
fully paid,4500.0,36.0,6.03,a,small_business,4.0,42000.0
fully paid,33541.207,60.0,20.89,f,credit_card,10.0,100000.0
default,24250.0,60.0,17.58,d,credit_card,10.0,80000.0
